57530.18	16.92	0.05
57531.27	16.86	0.04
57532.19	16.83	0.05
57533.22	16.76	0.04
57534.18	16.73	0.03
57535.26	16.70	0.03
57536.23	16.66	0.04
57537.24	16.60	0.03
57538.17	16.58	0.04
57541.22	16.53	0.04
57542.20	16.51	0.04
57543.24	16.49	0.03
57544.16	16.47	0.03
57545.18	16.46	0.03
57546.28	16.46	0.02
57547.21	16.46	0.04
57548.18	16.47	0.02
57552.16	16.47	0.04
57556.19	16.53	0.03
57558.18	16.58	0.04
57559.17	16.65	0.16
57529.76	16.98	0.07
57531.69	17.03	0.11
57533.23	16.81	0.10
57537.60	16.63	0.07
57541.49	16.57	0.07
57543.38	16.44	0.07
57545.34	16.60	0.07
57547.38	16.47	0.06
57550.59	16.54	0.07
57556.88	16.64	0.09
57559.43	16.49	0.08
57562.19	16.63	0.07
57591.72	17.53	0.17
57595.03	17.60	0.25
