-8.83	-21.98	0.12	-21.87	0.10	-22.07	0.19
0.15	-22.08	0.09	-21.86	0.12	nan	nan
7.35	-22.07	0.07	-21.90	0.27	-22.11	0.30
18.08	-21.95	0.12	-21.80	0.26	-21.99	0.24
34.21	-21.85	0.09	-21.66	0.20	-21.94	0.20
62.77	-21.41	0.12	-21.33	0.13	-21.56	0.16
93.12	-21.18	0.09	-21.03	0.12	-21.32	0.16
248.92	-19.46	0.12	n	n	-19.63	0.21
