-15.091	44.483	0.052
-14.710	44.488	0.052
-13.720	44.495	0.053
-13.339	44.487	0.047
-12.885	44.495	0.045
-11.950	44.500	0.039
-11.940	44.498	0.035
-11.078	44.503	0.041
-10.097	44.502	0.039
-9.216	44.502	0.037
-8.299	44.504	0.035
-7.972	44.487	0.031
-7.455	44.504	0.035
-4.685	44.505	0.031
-4.440	44.502	0.030
-3.796	44.498	0.029
-2.851	44.491	0.026
-2.724	44.491	0.026
-2.016	44.486	0.024
-1.090	44.480	0.023
-0.944	44.469	0.022
-0.091	44.474	0.025
0.754	44.469	0.022
0.908	44.462	0.018
1.634	44.460	0.022
3.823	44.435	0.017
5.248	44.419	0.017
8.908	44.362	0.016
9.534	44.347	0.020
10.715	44.329	0.016
11.614	44.311	0.017
11.850	44.317	0.020
14.356	44.286	0.016
41.170	43.744	0.051
44.175	43.700	0.049
