57531.28	16.97	0.04
57533.21	16.85	0.05
57534.19	16.81	0.03
57535.26	16.79	0.03
57537.24	16.73	0.04
57541.22	16.64	0.02
57542.21	16.62	0.04
57543.24	16.60	0.03
57546.29	16.60	0.02
57547.21	16.56	0.03
57548.18	16.57	0.03
57529.69	16.95	0.06
57531.68	16.88	0.06
57533.23	16.71	0.06
57537.60	16.75	0.05
57541.48	16.61	0.04
57545.37	16.54	0.05
57547.37	16.50	0.04
57550.59	16.51	0.04
57553.28	16.57	0.07
57556.90	16.59	0.04
57559.42	16.67	0.06
57562.18	16.69	0.07
57591.72	18.36	0.16
57595.02	18.00	0.16
