-79.020	43.863	0.320
-34.120	44.590	0.251
-30.110	44.555	0.260
-29.230	44.636	0.280
-26.410	44.707	0.274
-25.250	44.595	0.159
-22.300	44.407	0.078
-22.050	44.404	0.121
-21.890	44.465	0.047
-21.130	44.401	0.190
-19.680	44.446	0.114
-18.410	44.448	0.178
-17.120	44.430	0.133
-15.070	44.552	0.278
-14.360	44.423	0.145
-9.900	44.510	0.046
-9.480	44.508	0.073
-8.060	44.527	0.149
-6.400	44.538	0.055
-5.860	44.483	0.277
-5.450	44.541	0.180
-4.090	44.545	0.121
-3.040	44.546	0.154
0.400	44.560	0.181
0.470	44.606	0.097
1.260	44.538	0.206
2.180	44.494	0.293
3.990	44.562	0.093
6.680	44.515	0.120
7.330	44.477	0.148
13.410	44.432	0.118
16.300	44.349	0.055
18.720	44.323	0.125
19.250	44.331	0.119
19.640	44.304	0.159
23.100	44.217	0.104
24.640	44.214	0.175
25.090	44.225	0.199
26.680	44.142	0.171
27.770	44.164	0.165
30.030	44.100	0.055
30.030	44.093	0.065
30.480	44.144	0.123
31.670	44.134	0.142
33.100	44.151	0.130
33.120	44.125	0.075
38.350	44.008	0.100
38.510	44.029	0.112
41.590	44.017	0.118
43.130	44.039	0.089
43.970	44.057	0.143
47.990	44.053	0.083
48.280	44.049	0.076
53.610	43.984	0.167
54.270	43.960	0.068
54.530	43.906	0.110
54.690	43.955	0.108
58.300	43.906	0.149
64.100	43.845	0.049
67.300	43.773	0.094
69.240	43.795	0.067
74.500	43.726	0.114
81.460	43.696	0.065
87.450	43.679	0.115
93.700	43.719	0.116
99.130	43.645	0.168
103.920	43.612	0.133
115.260	43.584	0.102
120.970	43.563	0.104
243.600	42.834	0.042
269.010	42.672	0.402
270.740	42.619	0.423
276.100	42.641	0.363
288.450	42.474	0.449
290.610	42.440	0.482
297.720	42.405	0.503
301.470	42.380	0.363
307.320	42.373	0.143
312.960	42.370	0.302
318.130	42.248	0.261
320.190	42.323	0.181
326.440	42.208	0.252
346.750	42.275	0.410
