-79.020	42.965	0.112
-34.120	43.733	0.027
-30.110	43.742	0.018
-29.230	43.761	0.018
-26.410	43.772	0.022
-25.250	43.768	0.022
-22.300	43.767	0.022
-22.050	43.771	0.021
-21.890	43.786	0.021
-21.130	43.773	0.021
-19.680	43.780	0.022
-18.410	43.787	0.022
-17.120	43.790	0.022
-15.070	43.827	0.023
-14.360	43.798	0.022
-9.900	43.841	0.024
-9.480	43.844	0.021
-8.060	43.849	0.022
-6.400	43.864	0.022
-5.860	43.853	0.022
-5.450	43.858	0.022
-4.090	43.866	0.021
-3.040	43.865	0.022
0.400	43.872	0.021
0.470	43.881	0.022
1.260	43.867	0.021
2.180	43.858	0.022
3.990	43.856	0.024
6.680	43.858	0.021
7.330	43.848	0.021
13.410	43.810	0.022
16.300	43.782	0.021
18.720	43.762	0.021
19.250	43.756	0.020
19.640	43.734	0.024
23.100	43.708	0.024
24.640	43.712	0.021
25.090	43.709	0.021
26.680	43.657	0.024
27.770	43.688	0.021
30.030	43.650	0.021
30.030	43.648	0.020
30.480	43.662	0.021
31.670	43.660	0.020
33.100	43.653	0.021
33.120	43.645	0.021
38.350	43.591	0.021
38.510	43.604	0.020
41.590	43.614	0.019
43.130	43.620	0.020
43.970	43.616	0.020
47.990	43.600	0.022
48.280	43.603	0.020
53.610	43.564	0.021
54.270	43.548	0.021
54.530	43.527	0.019
54.690	43.541	0.020
58.300	43.509	0.020
64.100	43.469	0.019
67.300	43.416	0.019
69.240	43.421	0.019
74.500	43.373	0.019
81.460	43.352	0.019
87.450	43.334	0.019
93.700	43.349	0.020
99.130	43.299	0.020
103.920	43.271	0.019
115.260	43.239	0.019
120.970	43.205	0.020
243.600	42.512	0.021
269.010	42.410	0.023
270.740	42.390	0.022
276.100	42.361	0.022
288.450	42.103	0.026
290.610	42.153	0.023
297.720	42.126	0.023
301.470	42.080	0.022
307.320	42.031	0.025
312.960	42.065	0.022
318.130	41.917	0.029
320.190	41.985	0.022
326.440	41.901	0.022
346.750	41.792	0.027
